Customer_ID,Customer_Name,Region,Segment
Cust 8806,Shreya Chatterjee,North America,Home Office
Cust 8678,Divya Khanna,Africa,Home Office
Cust 9649,Rohan Pillai,Europe,Home Office
Cust 1960,Manish Patel,South America,Consumer
Cust 3910,Komal Choudhary,Europe,Consumer
Cust 0003,Manav Chatterjee,Asia,Consumer
Cust 0004,Mohit Arora,Asia,Corporate
Cust 2279,Pooja Ghosh,North America,Home Office
Cust 4689,Divya Reddy,South America,Corporate
Cust 7381,Harsh Kaur,Asia,Home Office
Cust 2724,Arjun Joshi,Asia,Corporate
Cust 2823,Dhruv Pandey,South America,Home Office
Cust 9402,Shreya Sen,Asia,Corporate
Cust 6561,Sneha Sinha,Asia,Corporate
Cust 3116,Kavya Bose,Asia,Consumer
Cust 1015,Rishabh Yadav,South America,Corporate
Cust 1207,Priya Malhotra,South America,Corporate
Cust 2501,Ritika Pandey,South America,Consumer
Cust 2330,Meera Chatterjee,South America,Consumer
Cust 7436,Nikhil Khanna,North America,Consumer
Cust 2762,Ananya Bansal,Asia,Home Office
Cust 3599,Aditya Menon,Europe,Consumer
Cust 4127,Manya Agarwal,North America,Consumer
Cust 6855,Divya Bhat,South America,Home Office
Cust 7017,Riya Agarwal,Europe,Corporate
Cust 6957,Manya Gupta,South America,Consumer
Cust 9822,Vivek Tiwari,North America,Consumer
Cust 7425,Simran Tiwari,North America,Consumer
Cust 0005,Nikhil Menon,South America,Home Office
Cust 8897,Rishabh Pandey,Europe,Corporate
Cust 9816,Akash Kaur,North America,Home Office
Cust 8227,Yash Roy,Europe,Consumer
Cust 4990,Dhruv Kapoor,Asia,Corporate
Cust 5834,Siddharth Agarwal,Africa,Corporate
Cust 7330,Yash Gupta,North America,Consumer
Cust 5273,Rahul Tiwari,Europe,Corporate
Cust 6138,Arjun Khanna,North America,Home Office
Cust 2084,Sakshi Sharma,Europe,Corporate
Cust 2799,Swati Gupta,Asia,Corporate
Cust 0006,Manish Kaur,North America,Home Office
Cust 3051,Shreya Reddy,Europe,Home Office
Cust 5456,Rajat Desai,Africa,Home Office
Cust 6029,Nisha Pandey,North America,Consumer
Cust 4002,Ritika Mehta,Asia,Home Office
Cust 5830,Komal Bhat,Europe,Home Office
Cust 8088,Sneha Pillai,Europe,Home Office
Cust 6455,Nisha Nair,South America,Consumer
Cust 4117,Dhruv Menon,Europe,Consumer
Cust 1385,Nikhil Mishra,South America,Corporate
Cust 5185,Neha Kapoor,North America,Corporate
Cust 8704,Saurabh Shah,Asia,Consumer
Cust 3528,Sneha Mukherjee,North America,Home Office
Cust 3907,Divya Ghosh,Africa,Consumer
Cust 9005,Sakshi Das,South America,Corporate
Cust 3635,Rishabh Sharma,Europe,Corporate
Cust 2122,Komal Yadav,Asia,Consumer
Cust 4467,Dev Mishra,Africa,Corporate
Cust 6146,Aman Pillai,South America,Corporate
Cust 4001,Aditi Malhotra,Europe,Corporate
Cust 3365,Arjun Kapoor,Europe,Home Office
Cust 2194,Akash Choudhary,Europe,Home Office
Cust 7942,Nikhil Patel,North America,Corporate
Cust 8451,Aarav Choudhary,Europe,Home Office
Cust 4238,Ira Pandey,South America,Consumer
Cust 2529,Vivek Mishra,Africa,Home Office
Cust 7057,Karan Mukherjee,Africa,Home Office
Cust 9069,Manav Verma,South America,Home Office
Cust 5858,Swati Kumar,North America,Corporate
Cust 2712,Rohan Ghosh,North America,Home Office
Cust 7052,Rahul Reddy,South America,Corporate
Cust 9397,Ira Agarwal,South America,Consumer
Cust 4614,Rahul Yadav,North America,Home Office
Cust 1573,Abhishek Chatterjee,South America,Corporate
Cust 5660,Mohit Bhat,Europe,Consumer
Cust 3952,Sakshi Mehta,Europe,Consumer
Cust 5407,Komal Bose,South America,Corporate
Cust 9595,Sneha Bose,North America,Corporate
Cust 3245,Rajat Iyer,Africa,Corporate
Cust 7180,Komal Das,Africa,Corporate
Cust 5973,Arjun Jain,Europe,Consumer
Cust 4310,Ritika Sen,South America,Home Office
Cust 6243,Swati Agarwal,South America,Consumer
Cust 2448,Rohan Kumar,Africa,Corporate
Cust 9386,Ishita Yadav,South America,Corporate
Cust 2227,Sakshi Kulkarni,North America,Corporate
Cust 3803,Anushka Gupta,South America,Home Office
Cust 1236,Arjun Pandey,Africa,Corporate
Cust 2669,Riya Kumar,South America,Consumer
Cust 3746,Dev Khanna,South America,Corporate
Cust 9694,Arjun Kulkarni,Asia,Home Office
Cust 4993,Akash Singh,Asia,Corporate
Cust 1271,Karan Iyer,South America,Consumer
Cust 3042,Rishabh Rao,South America,Consumer
Cust 6424,Priya Kaur,Africa,Consumer
Cust 1422,Saurabh Rao,Europe,Home Office
Cust 5857,Meera Ghosh,Europe,Consumer
Cust 6953,Simran Gupta,Asia,Consumer
Cust 2916,Kavya Patel,North America,Consumer
Cust 0007,Akash Kapoor,Asia,Corporate
Cust 8464,Ananya Shah,Africa,Consumer
Cust 9700,Rahul Agarwal,South America,Consumer
Cust 7765,Ira Mehta,Europe,Corporate
Cust 8246,Preeti Kulkarni,North America,Home Office
Cust 6500,Abhishek Jain,Africa,Consumer
Cust 1150,Gaurav Arora,Africa,Corporate
Cust 7449,Swati Patel,Asia,Corporate
Cust 1957,Shreya Pillai,North America,Corporate
Cust 3467,Nisha Khanna,Africa,Consumer
Cust 5212,Varun Bansal,North America,Consumer
Cust 3509,Ritika Ghosh,Asia,Home Office
Cust 5316,Varun Desai,North America,Home Office
Cust 9919,Nandini Nair,South America,Home Office
Cust 7129,Swati Sen,Europe,Corporate
Cust 9841,Dev Jain,North America,Corporate
Cust 0008,Sakshi Bose,North America,Home Office
Cust 4142,Arjun Sinha,Europe,Corporate
Cust 9584,Rishabh Das,North America,Consumer
Cust 2553,Komal Saxena,North America,Consumer
Cust 1347,Ira Kulkarni,Africa,Home Office
Cust 8305,Manya Sen,Africa,Home Office
Cust 7015,Kavya Agarwal,North America,Home Office
Cust 4394,Manav Pillai,South America,Corporate
Cust 3323,Vivek Menon,South America,Consumer
Cust 4029,Saurabh Tiwari,Europe,Consumer
Cust 1400,Siddharth Nair,Africa,Home Office
Cust 6361,Tanvi Iyer,Europe,Home Office
Cust 5267,Siddharth Pillai,Africa,Home Office
Cust 9354,Rishabh Chatterjee,Africa,Consumer
Cust 9443,Riya Menon,Africa,Corporate
Cust 2252,Aarav Shah,North America,Home Office
Cust 1031,Ira Patel,Africa,Home Office
Cust 0009,Pallavi Rao,North America,Corporate
Cust 1672,Sakshi Kaur,Africa,Corporate
Cust 9313,Aditi Sinha,Asia,Home Office
Cust 4405,Sneha Singh,South America,Consumer
Cust 6453,Manav Mukherjee,Africa,Home Office
Cust 4772,Sneha Chatterjee,South America,Home Office
Cust 1762,Nandini Pandey,Asia,Corporate
Cust 1865,Harsh Chatterjee,South America,Home Office
Cust 9552,Kavya Mishra,Europe,Consumer
Cust 4273,Nikhil Ghosh,Africa,Home Office
Cust 8712,Rishabh Menon,South America,Consumer
Cust 9048,Shreya Bansal,Africa,Consumer
Cust 7714,Meera Menon,Asia,Consumer
Cust 4770,Manav Das,Asia,Corporate
Cust 2007,Kavya Sharma,South America,Home Office
Cust 8909,Nandini Shah,Africa,Corporate
Cust 4196,Rajat Jain,South America,Home Office
Cust 4189,Rishabh Mishra,North America,Corporate
Cust 7226,Ira Kumar,Europe,Consumer
Cust 5015,Varun Choudhary,Africa,Home Office
Cust 9904,Shreya Agarwal,Africa,Consumer
Cust 7687,Shreya Patel,Europe,Consumer
Cust 6511,Ritika Roy,North America,Consumer
Cust 2412,Ishita Pillai,Asia,Corporate
Cust 1664,Pallavi Reddy,Europe,Corporate
Cust 6033,Siddharth Kaur,South America,Consumer
Cust 4019,Pallavi Tiwari,Asia,Corporate
Cust 4515,Akash Gupta,Europe,Consumer
Cust 7532,Neha Das,Asia,Consumer
Cust 8756,Vivek Gupta,South America,Consumer
Cust 7620,Preeti Pandey,Europe,Home Office
Cust 7368,Manav Ghosh,South America,Home Office
Cust 1319,Saurabh Mukherjee,Europe,Home Office
Cust 9597,Varun Gupta,Africa,Consumer
Cust 7369,Mohit Khanna,Asia,Corporate
Cust 8592,Anushka Singh,Asia,Home Office
Cust 2337,Vikram Menon,Asia,Corporate
Cust 0010,Rohan Singh,North America,Corporate
Cust 0011,Vikram Reddy,Africa,Home Office
Cust 9097,Abhishek Desai,North America,Home Office
Cust 5938,Manya Kumar,South America,Home Office
Cust 6928,Swati Malhotra,Asia,Home Office
Cust 6223,Mohit Tiwari,South America,Consumer
Cust 7614,Dev Nair,Africa,Home Office
Cust 3231,Sneha Tiwari,Europe,Consumer
Cust 9123,Ishita Khanna,Europe,Home Office
Cust 7054,Pallavi Mukherjee,Africa,Corporate
Cust 4240,Yash Agarwal,North America,Home Office
Cust 1237,Vivek Singh,South America,Consumer
Cust 5513,Simran Nair,Europe,Home Office
Cust 1835,Yash Bhat,South America,Home Office
Cust 8492,Rishabh Bansal,Asia,Corporate
Cust 2451,Sneha Ghosh,Europe,Corporate
Cust 4509,Rahul Bansal,North America,Corporate
Cust 6643,Manya Desai,South America,Consumer
Cust 2559,Rishabh Arora,North America,Home Office
Cust 4423,Rishabh Pillai,South America,Corporate
Cust 9139,Ananya Kulkarni,Africa,Consumer
Cust 6668,Meera Kaur,Africa,Consumer
Cust 4315,Siddharth Verma,Africa,Consumer
Cust 8000,Nikhil Nair,Africa,Home Office
Cust 7585,Ira Arora,Asia,Home Office
Cust 3127,Simran Mukherjee,Africa,Home Office
Cust 4130,Aditya Shah,South America,Consumer
Cust 6956,Gaurav Khanna,South America,Corporate
Cust 8155,Tanvi Kapoor,Asia,Home Office
Cust 8852,Siddharth Yadav,North America,Corporate
Cust 2850,Mohit Malhotra,Europe,Home Office
Cust 9572,Saurabh Khanna,Asia,Corporate
Cust 6253,Preeti Desai,Africa,Home Office
Cust 4154,Harsh Joshi,North America,Home Office
Cust 2137,Rahul Das,Asia,Home Office
Cust 8157,Mohit Kulkarni,Asia,Consumer
Cust 4861,Nisha Arora,Europe,Corporate
Cust 7493,Sneha Joshi,Africa,Corporate
Cust 7073,Abhishek Gupta,Asia,Consumer
Cust 9085,Siddharth Khanna,Africa,Consumer
Cust 0012,Harsh Singh,Asia,Home Office
Cust 8504,Tanvi Jain,Europe,Corporate
Cust 4164,Arjun Kaur,Europe,Consumer
Cust 9592,Rohan Bhat,Asia,Home Office
Cust 7450,Dev Mukherjee,South America,Consumer
Cust 0013,Ananya Das,Africa,Consumer
Cust 3305,Manya Bansal,North America,Corporate
Cust 9768,Kavya Bhat,North America,Corporate
Cust 1179,Kavya Singh,Asia,Corporate
Cust 2546,Kavya Pandey,North America,Home Office
Cust 2672,Ananya Tiwari,South America,Consumer
Cust 3394,Nisha Gupta,South America,Corporate
Cust 1649,Aarav Mukherjee,Europe,Consumer
Cust 6994,Saurabh Agarwal,North America,Home Office
Cust 9879,Rishabh Reddy,Europe,Corporate
Cust 0014,Vikram Arora,South America,Home Office
Cust 3712,Abhishek Sen,Africa,Corporate
Cust 3829,Mohit Kumar,Europe,Corporate
Cust 1623,Akash Mehta,Africa,Consumer
Cust 3532,Gaurav Nair,South America,Home Office
Cust 4712,Manav Kaur,Asia,Consumer
Cust 6211,Akash Yadav,Europe,Home Office
Cust 1222,Pooja Roy,Africa,Home Office
Cust 6208,Pooja Verma,Europe,Home Office
Cust 5942,Preeti Roy,Europe,Corporate
Cust 1745,Karan Kumar,South America,Consumer
Cust 2679,Varun Menon,Asia,Corporate
Cust 9907,Manish Kumar,Africa,Corporate
Cust 0015,Riya Iyer,Africa,Corporate
Cust 5717,Shreya Khanna,Asia,Corporate
Cust 7995,Pooja Pandey,North America,Corporate
Cust 5572,Pallavi Chatterjee,North America,Home Office
Cust 1721,Nandini Reddy,Europe,Home Office
Cust 2641,Pooja Yadav,Europe,Corporate
Cust 9769,Varun Bhat,North America,Corporate
Cust 1718,Vivek Pillai,Asia,Home Office
Cust 1210,Dev Kumar,Europe,Home Office
Cust 7710,Vikram Bose,Europe,Home Office
Cust 1428,Ananya Gupta,Asia,Home Office
Cust 2810,Rahul Mehta,Asia,Home Office
Cust 2234,Tanvi Kulkarni,Europe,Home Office
Cust 9602,Rohan Bansal,Asia,Home Office
Cust 0016,Dev Kulkarni,Africa,Corporate
Cust 5032,Manav Mehta,Europe,Consumer
Cust 4297,Pallavi Kulkarni,Asia,Corporate
Cust 6944,Swati Chatterjee,Africa,Consumer
Cust 4136,Divya Arora,Asia,Home Office
Cust 7460,Kavya Das,South America,Home Office
Cust 3960,Ritika Bhat,Africa,Consumer
Cust 0017,Kavya Verma,Africa,Corporate
